,Heure_Début,Heure_Fin,Horaire,Durée,08h-09h,09h-10h,10h-11h,11h-12h,12h-13h,13h-14h,14h-15h,15h-16h,16h-17h,17h-18h,18h-19h,19h-20h,20h-21h,21h-22h,22h-23h,23h-00h,00h-01h,01h-02h,02h-03h,03h-04h,04h-05h,05h-06h,06h-07h,07h-08h
790,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792,08:00:00,13:00:00,08:00:00 - 13:00:00,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
793,12:15:00,18:00:00,12:15:00 - 18:00:00,5.75,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
794,13:00:00,17:00:00,13:00:00 - 17:00:00,4.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,17:00:00,18:00:00,17:00:00 - 18:00:00,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796,08:00:00,13:00:00,08:00:00 - 13:00:00,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
797,10:00:00,13:00:00,10:00:00 - 13:00:00,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,08:00:00,13:00:00,08:00:00 - 13:00:00,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
801,11:00:00,14:00:00,11:00:00 - 14:00:00,3.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,08:00:00,13:00:00,08:00:00 - 13:00:00,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
805,13:00:00,17:30:00,13:00:00 - 17:30:00,4.5,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,17:30:00,18:00:00,17:30:00 - 18:00:00,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808,08:00:00,13:00:00,08:00:00 - 13:00:00,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
809,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811,08:00:00,13:00:00,08:00:00 - 13:00:00,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
812,12:00:00,13:00:00,12:00:00 - 13:00:00,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813,12:00:00,18:00:00,12:00:00 - 18:00:00,6.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
814,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815,08:00:00,13:00:00,08:00:00 - 13:00:00,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
816,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818,08:00:00,13:00:00,08:00:00 - 13:00:00,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
819,09:00:00,11:00:00,09:00:00 - 11:00:00,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,08:00:00,10:00:00,08:00:00 - 10:00:00,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
823,08:00:00,13:00:00,08:00:00 - 13:00:00,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
824,10:00:00,12:30:00,10:00:00 - 12:30:00,2.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
